question,a,b,c,d,correct
Prepayments or curtailments,will increase the amount of interest the lender receives over the life of the loan.,will reduce the amount of interest the lender receives over the life of the loan.,cause the duration of the original mortgage to lengthen or increase.,have no impact on the amount of interest the lender receives over the life of the loan.,B
"Suppose that the single-monthly mortality rate SMM is equal to 0.004. The mortgage balance for a certain month is 100 million, and the scheduled principal payment for the same month is 2.5 million. What is the assumed prepayment amount for this month?","9,60,000.00","8,90,000.00","3,90,000.00","4,60,000.00",C
"Generally speaking, an analyst would like the adjusted spread OAS to be",big.,negative.,zero.,small.,A
"If the simulated interest rates are based on the Treasury curve, then how is the option-adjusted spread obtained OAS using the Monte Carlo simulation model interpreted? The OAS is the",average spread over the Treasury spot rate curve.,average spread over the Treasury yield.,spread over the Treasury spot rate corresponding to the maturity of the mortgage- backed security.,price difference between a mortgage-backed security and the corresponding Treasury security.,A
Interest only IO strip cash flow,are the same throughout the life of the security.,starts out big and gets smaller over time.,have longer effective lives than principal only PO strips.,starts out small and gets bigger over time.,B
"Based on recent trends, which of the following measures of creditworthiness is generally seen as least important by mortgage lenders?",Income ratios.,Credit scores.,Loan-to-value ratio.,Documentation provided by borrower.,D
Prepayments cause the timing and amount of cash flows from mortgage loans and mortgage- backed securities MBS to be uncertain. Thus,the analyst must make specific assumptions about the rate at which prepayments of the pooled mortgages occurs when valuing the passthrough securities.,regulators mandate the convention firms must use when estimating prepayment rates.,industry conventions need to be adopted as benchmarks for prepayment risk but have not been at this point.,the rate of prepayments is important to valuing the passthrough securities but is impossible to estimate.,A
"Regarding a fixed-rate, level payment, and fully amortized mortgage loan, which of the following statements is false?",Interest payments fall as principal payments rise over the life of the loan.,Payments are equal over the life of the loan.,Principal repayment falls as interest payments rise over the life of the loan.,Each payment consists of an interest component and a principal component.,C
What FICO score is needed to qualify a borrower as prime rather than subprime?,Above 620.,Above 600.,Above 640.,Above 660.,D
Consider a pool of mortgages that were issued exactly 22 months ago they are beginning month 23. What is the conditional prepayment rate CPR and the single monthly mortality rate SMM assuming 150 percent PSA?,4.6% 0.59%,6.9% 0.63%,6.9% 0.59%,4.6% 0.63%,C
Payments in excess of the required monthly payment amount are called:,CMOs.,mega-payments.,prepayments.,passthroughs.,C
"How is the option-adjusted spread (OAS) computed using the Monte Carlo simulation model? The OAS is the value of the spread that, when added to all of the simulated spot rates, makes the:","theoretical present value, assuming a constant prepayment rate, equal to the",average of the present values from the simulated cash ow paths equal to the,present value of cash ows equal to the market price of the mortgage-backed,"theoretical present value, assuming no prepayments, equal to the market price of",B
Which of the following is a characteristic of a mortgage loan?,A very risky loan since it is unsecured.,"A loan that can be collateralized by real estate, nancial securities, or any other","If the borrower defaults on the loan, the lender has the right to seize the collateral.","If the borrower defaults on the loan, the lender has the right to seize all assets of",C
Which of the following best describes a stripped mortgage-backed security (MBS)? A stripped MBS is a security:,whose distribution of principal and interest has been altered from a pro rata,that provides no interest payments.,that provides no principal payments.,whose distribution of principal and interest has been altered from an unequal,A
"Regarding the creation of agency or private-label mortgage-backed security pools, which of the following statements is incorrect?",The loans that do not meet government agency requirements are securitized in,The loans that meet government agency requirements are charged an insurance,"Although there is no agency guarantee on private label securities, there is","After a pool of mortgages is securitized, it is sold to investors as a pass-through",B
How is the price of a principal-only mortgage strip affected by declining mortgage rates in the market? The price of the principal-only strip:,may increase or decrease.,increases.,decreases.,is unaected.,B
"Which of the following most accurately describes the term ""securitizing a mortgage""?",Including a mortgage in a pool of mortgages that is used as collateral for a,Osetting the mortgage payments by an investment that generates exactly the,Selling shares of one mortgage to other investors.,Selling an entire mortgage to another investor.,A
"The SMM formula is: SMM = 1 − (1 − CPR)1/12. Calculate the single monthly mortality rate (SMM) for month 6, 100 PSA:",0.000837.,0.001006.,0.001259.,0.010366.,B
Which of the following is most accurate regarding the investment characteristics of a principal- only (PO) mortgage strip?,The faster the prepayments the higher the investor's return.,The lower the coupon the higher the investor's return.,The slower the prepayments the higher the investor's return.,The higher the coupon the higher the investor's return.,A
"In measuring prepayment speeds for a pool of mortgages with the assumption of 125 PSA, which of the following statements regarding the conditional prepayment rate (CPR) and single monthly mortality rate (SMM) is least accurate?",The SMM in month 30 is 0.00760156.,The SMM in month 20 is 0.004265319.,The CPR in month 30 is 0.075.,The CPR in month 20 is 0.05.,A
Which of the following statements regarding principal-only (PO) and interest-only (IO) strips is (are) correct? I. The IO price is positively related to mortgage rates at low current rates. II. The IO exhibits some negative convexity at low rates. III. PO strips are sold at a moderate discount to par. IV. PO prices increase when interest rates fall.,I and IV.,III and IV.,I and II.,II and III.,A
Which of the following is correct concerning Monte Carlo simulation for valuing a mortgage- backed security? Monte Carlo simulation involves:,generating a series of interest rates paths used to discount the known cash ows.,generating a series of cash ows based on simulated mortgage renancing rates.,creating a trinomial interest rate tree that is used for the valuation.,creating a binomial interest rate tree that is used for the valuation.,B
Which of the following most accurately describes a mortgage passthrough security?,A futures contract on a pool of mortgages of a certain type.,A security that pays o the full amount of the mortgage if the borrower defaults.,A participation certicate in a pool of mortgages.,An option on a pool of mortgages.,C
Which of the following have greater price volatility than the pass-through from which they are derived?,Principal only strips.,Interest only strips.,Interest only strips and principal only strips.,Neither interest only strips nor principal only strips.,C
Which of the following most accurately describes prepayments?,A scheduled mortgage payment that includes scheduled amortization and interest.,A payment that pays the mortgage in full prior to maturity.,Prepayment occurs if both interest and principal are paid before the end of the,A payment made in excess of the monthly mortgage payment.,D
Which of the following is not a step in the Monte Carlo method for calculating the theoretical value of a mortgage-backed security?,Generate interest-rate paths and estimate cash ows for each path based on a,Calculate the option-adjusted spread (OAS).,Discount cash ows to present values based on the interest rate path.,Average all the present values to get the theoretical model.,B
The purchaser of a mortgage passthrough security:,has a claim to equal percentage shares of the interest and principal payments,can select a tranche that oers the desired prepayment risk or maturity,"will receive semiannual payments that consist of interest, scheduled principal",hedges all prepayment risk.,A
Which of the following best describes how planned amortization class (PA bonds are protected against prepayment risk to create products that provide better asset and liability matching for institutional investors? PAC bonds:,do not allow prepayment for certain types of mortgages.,have several dierent companion tranches to which repayments are directed,have a xed principal repayment schedule that must be satised as long as the,accrue the interest for one tranche and redistribute it to the support tranches.,C
Which of the following statements is correct regarding dollar roll transactions?,An increase in the back month price could cause a dollar roll to trade special.,Funding costs in the repo market is a factor that impacts dollar roll valuations.,Shortages of certain securities will decrease the front month price.,A dollar roll transaction occurs when an MBS market maker buys positions for one,B
Which of the following statements regarding collateralized mortgage obligations (CMOs) is false? The:,early maturing tranches oer relatively greater protection against contraction risk.,early maturing tranches oer relatively greater protection against extension risk.,longer-term tranches oer relatively greater protection against contraction risk.,principal pay down window refers to the number of months that it takes for a,A
"Suppose that the single-monthly mortality rate (SMM) is equal to 0.003. The mortgage balance for a certain month is $250 million, and the scheduled principal payment for the same month is $3 million. What is the assumed prepayment amount for this month?","$741,000.","$988,000.","$356,000.","$672,000.",A
A rise in interest rates would most likely cause which of the following?,Both IO and PO strips to decrease in value.,PO strips to increase in value.,IO strips to increase in value.,Both IO and PO strips in increase in value.,C
A trader is bearish on the U.S. bond market (he thinks prices will fall in the short-term). Which mortgage derivative position will usually yield a profit if the trader's assumption is accurate?,PO (principal only).,Inverse oater.,None of these.,IO (interest only).,D
The spread (k) that must be added to all of the spot rates along each interest rate path that will force equality between the average present value of the path's cash flows and the market price (plus accrued interest) for the mortgage-backed security (MBS) being evaluated is called the:,option-adjusted spread (OAS).,Monte Carlo spread.,k-spread.,PAC spread.,A
"Regarding mortgage passthrough securities, which of the following statements is false?",Passthrough security investors receive the monthly cash ows generated by the,The passthrough coupon rates are greater than the average coupon rate of the,Passthrough securities convert illiquid mortgages into liquid securities.,The passthrough coupon rates are less than the average coupon rate of the,B
"Which of the following is a characteristic of a fixed rate, level payment, fully amortized mortgage loan?",Each payment includes an equal portion of interest and amortized principal.,Each payment includes interest on the borrowed amount only.,"Throughout the life of the mortgage, the interest portion of each payment","The payments are such that at the end of the mortgage, the loan has been fully",D
What is a curtailment in relation to a mortgage?,Prepayments of a mortgage for less than the full amount.,Prepayments of a mortgage for the entire amount.,A default on a mortgage.,Payments that come in slower than expected.,A
Which of the following most accurately describes a mortgage loan?,A commercial loan secured by the collateral of some specied real estate property.,A loan secured by the collateral of some specied real estate property.,An unsecured loan to enable the borrower to nance a real estate property.,An unsecured commercial loan to enable the borrower to nance a real estate,B
How is a collateralized mortgage obligation (CMO) created? A CMO is created by:,eliminating extension risk.,eliminating contraction risk.,redistributing the cash ows of mortgage-related products to dierent bond,eliminating prepayment risk.,C
"In relation to MBS, what is the cause of refinancing burnout?",A fall in the supply of mortgage funding.,Interest rates rising after having fallen.,A number of falls in interest rates.,Lenders tightening their underwriting after a boom period.,C
"Given a single monthly mortality rate (SMM) of 0.45 percent, a mortgage pool with a $200,000 principal balance outstanding at the beginning of the 26th month, and a scheduled monthly principal payment of $60.00 for the 26th month, the estimated prepayment is:",$426.38.,$899.73.,$567.89.,$450.00.,B
"Which of the following most accurately describes the cash flows of a fixed rate, level payment, fully amortized mortgage loan?",The borrower pays equal installments over the term of the mortgage.,The mortgage is amortized in the nal payment as in corporate debt.,The borrower pays equal percentage installments over the term of the mortgage.,"The mortgage is amortized in two equal payments, one after half of the life of the",A
"A collateralized mortgage obligation (CMO) bond structure includes four tranches, A, B, C, and D, with the following characteristics: 
Tranche.   OAS (in BP)      Option Cost (in BP)
A                     54                          73
B                     55                          94
C                     68                          71
D                     56                          90
Using this information, which of the tranches appears to be cheap?",B.,C.,A.,D.,B
Prepayment models are complex and rely upon a number of different methods to circumvent the problem of prepayment path dependency. Which of the following is often used to avoid the problems associated with prepayment path dependency?,Bernard and Schwartz simulation.,Monte Carlo simulation.,Cox-Ingersoll-Ross tree design.,Error-correction model tree design.,B
Principal-only strips are:,sold at a considerable discount to par.,"could be sold at a discount or a premium, depending on economic conditions.",sold at par.,sold at a considerable premium to par.,A
All of the following are steps used in applying a Monte Carlo simulation model for valuing a mortgage-backed security (MBS) except:,input potential interest rate paths.,stipulate the number of paths the analyst is willing accept.,use the Treasury yield curve for rates.,use an assumed level of interest volatility.,B
The most important determinant of refinancing burnout is the:,path that mortgage rates have followed since origination.,current level of interest rates.,season of the year.,spread between the current mortgage rate and the original rate.,A
Which of the following statements regarding the Monte Carlo simulation model in valuing mortgage-backed securities is correct?,Monte Carlo models must be calibrated so that the current price generated by the,The critical renancing rate spread (spread relationship between the renancing,The key dierence between the various suppliers of the Monte-Carlo-based,The Monte-Carlo simulation model is not designed to be arbitrage-free.,D
"In the past, if mortgage rates fell by more than 2%, refinancing activity would increase dramatically. That effect is best described as the:",lock-in eect.,burnout eect.,media eect.,renance eect.,C
What is curtailment in relation to a mortgage?,Prepayments of a mortgage for the entire amount.,Prepayments of a mortgage for less than the full amount.,Payments that come in slower than expected.,A full default on the mortgage.,B
